index,speaker,split,utt_id,target_word,wav_head_path,best_epsilon,best_steps,baseline_raw_prediction,baseline_mapped_prediction,baseline_target_rank,baseline_target_distance,best_assisted_raw_prediction,best_assisted_mapped_prediction,best_target_rank,best_target_distance,recovered,rank_improved,distance_improved,original_audio,assisted_audio
21,M05,test,98,here,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0098.wav,0.00012,3,you,dot,150,4.0,merly,here,1,3,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0021_M05_test_98_here_eps0.00012_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0021_M05_test_98_here_eps0.00012_k3_adv.wav
22,F03,test,16,white,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session2\wav_headMic\0016.wav,8e-05,2,rit,bit,147,3.0,white,white,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0022_F03_test_16_white_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0022_F03_test_16_white_eps0.00008_k2_adv.wav
23,F03,test,112,left,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session1\wav_headMic\0112.wav,0.0001,2,laughed,jagged,137,6.0,left,left,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0023_F03_test_112_left_eps0.00010_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0023_F03_test_112_left_eps0.00010_k2_adv.wav
24,M02,test,72,left,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0072.wav,0.00018,3,laughed,jagged,137,6.0,laug,left,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0024_M02_test_72_left_eps0.00018_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0024_M02_test_72_left_eps0.00018_k3_adv.wav
25,M02,test,10,farm,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0010.wav,0.0001,3,time,tie,132,4.0,im,farm,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0025_M02_test_10_farm_eps0.00010_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0025_M02_test_10_farm_eps0.00010_k3_adv.wav
26,F03,test,12,write,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session3\wav_headMic\0012.wav,8e-05,2,right,right,128,4.0,crite,write,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0026_F03_test_12_write_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0026_F03_test_12_write_eps0.00008_k2_adv.wav
27,M05,test,114,we're,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0114.wav,0.0001,2,we,he,125,3.0,we ye,we're,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0027_M05_test_114_we_re_eps0.00010_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0027_M05_test_114_we_re_eps0.00010_k2_adv.wav
28,F01,dev,50,beta,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0050.wav,8e-05,3,mare,mere,124,4.0,mega,beta,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0028_F01_dev_50_beta_eps0.00008_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0028_F01_dev_50_beta_eps0.00008_k3_adv.wav
29,M01,test,14,the,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0014.wav,0.0002,3,ba,a,121,3.0,ther,the,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0029_M01_test_14_the_eps0.00020_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0029_M01_test_14_the_eps0.00020_k3_adv.wav
30,M01,test,137,ate,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0137.wav,8e-05,2,eight,eight,119,5.0,ape,ate,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0030_M01_test_137_ate_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0030_M01_test_137_ate_eps0.00008_k2_adv.wav
31,M01,test,41,urgent,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0041.wav,0.0002,2,i dink,sink,118,5.0,igient,urgent,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0031_M01_test_41_urgent_eps0.00020_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0031_M01_test_41_urgent_eps0.00020_k2_adv.wav
32,M02,test,209,pile,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0209.wav,0.00014,2,payron,barn,116,5.0,piwe,pile,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0032_M02_test_209_pile_eps0.00014_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0032_M02_test_209_pile_eps0.00014_k2_adv.wav
33,M05,test,392,glitter,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0392.wav,0.0002,2,bibe te,bite,115,6.0,giit te,glitter,1,3,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0033_M05_test_392_glitter_eps0.00020_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0033_M05_test_392_glitter_eps0.00020_k2_adv.wav
34,M05,test,188,rich,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0188.wav,0.0002,2,uit,bit,114,3.0,uric,rich,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0034_M05_test_188_rich_eps0.00020_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0034_M05_test_188_rich_eps0.00020_k2_adv.wav
35,F03,test,146,sigh,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session1\wav_headMic\0146.wav,0.00014,2,fah,fat,111,3.0,sigh,sigh,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0035_F03_test_146_sigh_eps0.00014_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0035_F03_test_146_sigh_eps0.00014_k2_adv.wav
36,F03,test,90,jagged,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session1\wav_headMic\0090.wav,8e-05,2,judg,bug,110,4.0,jagge,jagged,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0036_F03_test_90_jagged_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0036_F03_test_90_jagged_eps0.00008_k2_adv.wav
37,M02,test,157,boot,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0157.wav,8e-05,3,rug,bug,110,4.0,boo,boot,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0037_M02_test_157_boot_eps0.00008_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0037_M02_test_157_boot_eps0.00008_k3_adv.wav
38,M04,test,105,corn,D:\audio_adv_experiment\datasets\TORGO.M\M04\Session2\wav_headMic\0105.wav,0.00014,3,wuat,at,110,4.0,quaer,corn,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0038_M04_test_105_corn_eps0.00014_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0038_M04_test_105_corn_eps0.00014_k3_adv.wav
39,F04,dev,190,barn,D:\audio_adv_experiment\datasets\TORGO.F\F04\Session2\wav_headMic\0190.wav,0.00014,3,mine,mike,93,4.0,barn,barn,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0039_F04_dev_190_barn_eps0.00014_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0039_F04_dev_190_barn_eps0.00014_k3_adv.wav
40,F03,test,192,knew,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session1\wav_headMic\0192.wav,0.00012,2,ter,air,90,3.0,new,knew,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0040_F03_test_192_knew_eps0.00012_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0040_F03_test_192_knew_eps0.00012_k2_adv.wav
41,M02,test,119,two,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0119.wav,8e-05,2,cu,a,89,3.0,two,two,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0041_M02_test_119_two_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0041_M02_test_119_two_eps0.00008_k2_adv.wav
42,M01,test,44,back,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0044.wav,8e-05,2,mike,mike,86,4.0,back,back,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0042_M01_test_44_back_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0042_M01_test_44_back_eps0.00008_k2_adv.wav
43,M01,test,79,pat,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0079.wav,0.00016,2,ti,tie,82,3.0,pat,pat,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0043_M01_test_79_pat_eps0.00016_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0043_M01_test_79_pat_eps0.00016_k2_adv.wav
44,M05,test,296,up,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0296.wav,0.00018,3,ah puh,alpha,80,5.0,ah pu,up,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0044_M05_test_296_up_eps0.00018_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0044_M05_test_296_up_eps0.00018_k3_adv.wav
45,M02,test,85,white,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session2\wav_headMic\0085.wav,0.00012,2,why,shy,80,3.0,white,white,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0045_M02_test_85_white_eps0.00012_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0045_M02_test_85_white_eps0.00012_k2_adv.wav
46,M05,test,228,seven,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0228.wav,0.0002,3,sairine,air,80,5.0,serlin,seven,1,3,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0046_M05_test_228_seven_eps0.00020_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0046_M05_test_228_seven_eps0.00020_k3_adv.wav
47,M05,test,309,zip,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0309.wav,0.00018,3,esit,sit,76,3.0,zip,zip,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0047_M05_test_309_zip_eps0.00018_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0047_M05_test_309_zip_eps0.00018_k3_adv.wav
48,M05,test,294,sierra,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0294.wav,8e-05,2,fera,beta,76,3.0,fiera,sierra,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0048_M05_test_294_sierra_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0048_M05_test_294_sierra_eps0.00008_k2_adv.wav
49,M01,test,12,sip,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0012.wav,0.0001,3,hy,he,74,3.0,sip,sip,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0049_M01_test_12_sip_eps0.00010_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0049_M01_test_12_sip_eps0.00010_k3_adv.wav
